,Age,R,DeltaR
0,2.5,1.2791555340021434,0.5545904212765357
1,7.5,1.572730214600405,0.460688550739187
2,12.5,1.1452466498952447,0.19251752991231497
3,17.5,1.1816861032015442,0.06612196195236913
4,22.5,1.0703985367780549,0.06642766624017732
5,27.5,1.1727420950839431,0.08983131720544563
6,32.5,1.0348627771149832,0.08996306034305832
7,37.5,1.2547856544667384,0.1274774946149345
8,42.5,1.0826233594560024,0.11318167325285715
9,47.5,1.0755706678799464,0.11612061820835055
10,52.5,0.9754159391365234,0.10492009570623301
11,57.5,0.8441656072239829,0.09766674540356005
12,62.5,0.862980900518435,0.10197362574711401
13,67.5,0.8248227693374766,0.1073794086715423
14,72.5,0.7551120886510849,0.09946831841475526
15,77.5,0.7872876996814899,0.11851719780627137
16,82.5,0.9860468192367584,0.14446977304114889
17,87.5,1.0144932121649044,0.20931787390082005
18,92.5,0.6572733830853628,0.25792898166000816
19,97.5,1.0,inf
