,Age,R,DeltaR
0,2.5,1.0,inf
1,7.5,1.0,inf
2,12.5,1.0,inf
3,17.5,1.254712577146981,0.037238529264375035
4,22.5,1.1830580231431396,0.045357750044130805
5,27.5,1.2419305443113333,0.056937560941914524
6,32.5,1.1892686300347766,0.060748822202416355
7,37.5,1.1492416108172157,0.06295869362964888
8,42.5,1.165013361747755,0.06710557244351883
9,47.5,0.9758119094217044,0.057249513596235695
10,52.5,0.9522474999055519,0.054961238724565355
11,57.5,0.880688486492539,0.05031031108818305
12,62.5,0.7724430324327896,0.04392212834070926
13,67.5,0.8123185336778035,0.04543254429230252
14,72.5,0.8052508545150554,0.045222480726418476
15,77.5,0.8312446650760363,0.0512555962657943
16,82.5,0.9492786743840856,0.07850692478579459
17,87.5,0.7537799750364965,0.10816809057718975
18,92.5,1.2064546733322394,0.496192907243373
19,97.5,1.0,inf
