,Age,R,DeltaR
0,2.5,1.0921991200139227,0.11917829169292517
1,7.5,1.3331261885907377,0.14229630065656215
2,12.5,1.189995907045403,0.09020999786469582
3,17.5,1.3200510667873802,0.0508424436726051
4,22.5,1.4213863604642691,0.06455899525543396
5,27.5,1.3226475263244666,0.06923002915887347
6,32.5,1.3221087997684293,0.07560832635897008
7,37.5,1.2456420813274869,0.08166286453669006
8,42.5,1.1246831566004163,0.08277989967345052
9,47.5,1.1783937950278174,0.09800783657659133
10,52.5,1.1386726212227631,0.10106825020747577
11,57.5,1.0076387805822928,0.10515688833715023
12,62.5,1.1228731179689386,0.12363201884462532
13,67.5,1.1007549897119107,0.13498764333503244
14,72.5,0.988781408544079,0.134065949011336
15,77.5,1.0621939465648076,0.16018177366344047
16,82.5,0.914775882028515,0.2070025206197669
17,87.5,1.1716717394978895,0.4558857314891356
18,92.5,1.7086037569526544,1.8818949789950365
19,97.5,1.0,inf
