,Age,R,DeltaR
0,2.5,0.9631393226023693,0.17452948662722595
1,7.5,1.0628973304326799,0.15575923750928344
2,12.5,0.9634542492864543,0.09569163677159702
3,17.5,1.3426970232718154,0.06232344468019425
4,22.5,1.3236435765914103,0.07271200779436449
5,27.5,1.3365171235319866,0.08658029864394699
6,32.5,1.3982026408583714,0.09330276387290416
7,37.5,1.118944495110671,0.07799172520665322
8,42.5,1.1686890811179085,0.08358966952434024
9,47.5,1.1429785012816194,0.0883636444701967
10,52.5,1.0225639191275477,0.08805864514794123
11,57.5,0.9287995032232748,0.08914366421930565
12,62.5,1.065174370567065,0.1161919738906906
13,67.5,0.9537124078054148,0.11605129095273348
14,72.5,0.6813085176427042,0.09682827639344502
15,77.5,0.8755053513232104,0.13829663871235695
16,82.5,0.852159353285537,0.17152416025833875
17,87.5,0.9635681332596167,0.3395561835940781
18,92.5,1.1250206666650722,1.0219308854797327
19,97.5,1.0,inf
