,Age,R,DeltaR
0,2.5,0.6697753169067536,0.6153283161014947
1,7.5,1.1325383779202807,0.6952556108986019
2,12.5,0.9415718166743379,0.23323365568562893
3,17.5,1.173383267801993,0.08921349616460399
4,22.5,0.9593129739103502,0.07942043033286517
5,27.5,1.205909193480624,0.12576283304550648
6,32.5,0.968067043547689,0.11642141660552426
7,37.5,1.2939070751656045,0.18137424961049262
8,42.5,1.1495665414680991,0.17271929603336475
9,47.5,1.1352702981329041,0.1715148048497269
10,52.5,1.164326399304627,0.17496307423053944
11,57.5,0.8814314298077522,0.14127802753005775
12,62.5,0.804235248878634,0.12446876521611573
13,67.5,0.8507938866704792,0.1375168959327222
14,72.5,0.7458855739736074,0.1281150950114907
15,77.5,0.8127992784036281,0.1554082296736302
16,82.5,1.110383923830035,0.20827881927620942
17,87.5,1.2599434087656276,0.3255620694430682
18,92.5,0.593447658402382,0.2695399597507357
19,97.5,1.0,inf
