,Age,R,DeltaR
0,2.5,0.923860724775135,0.08466164523132813
1,7.5,1.123730654096907,0.1006399443959854
2,12.5,1.1120921245175144,0.07061996247495923
3,17.5,1.269970424579559,0.03908711801376509
4,22.5,1.174799504831989,0.04648681482968714
5,27.5,1.3223185340280625,0.06722710418881965
6,32.5,1.2057706898469358,0.0738752052353316
7,37.5,1.22440546519332,0.0850428543776482
8,42.5,1.1111746434513559,0.08612666114129765
9,47.5,1.0963362976041482,0.08961660003858783
10,52.5,1.203155784666951,0.10378795418160491
11,57.5,1.1245544163807297,0.10400970098155819
12,62.5,1.000925083981299,0.09826767905551034
13,67.5,0.8641950959660046,0.0849733652187455
14,72.5,0.9550833253342227,0.09957774610149962
15,77.5,1.0389490692294263,0.12135764293349226
16,82.5,0.8669870066502707,0.1361580369811149
17,87.5,0.9495920415177205,0.24835426145431005
18,92.5,1.1935520965716793,0.5395244137962204
19,97.5,3.0000000000000004,5.479279149669234
