,Age,R,DeltaR
0,2.5,1.0097901273330385,0.05156298693353414
1,7.5,1.064542075481204,0.0549855575990047
2,12.5,1.061031699071192,0.03838019916975297
3,17.5,1.2564509718941257,0.024147412928651548
4,22.5,1.2254703320812026,0.02727383208880139
5,27.5,1.2871148772920702,0.03509919333704732
6,32.5,1.2202181203088207,0.03901673124347614
7,37.5,1.1956844173181103,0.04254565220806809
8,42.5,1.158390586159967,0.04483487886276257
9,47.5,1.1109702882921955,0.0458323746252919
10,52.5,1.0579058805442538,0.04443751386930602
11,57.5,1.0189061003896718,0.04414467167720838
12,62.5,0.8994965124693367,0.038451090096226735
13,67.5,0.9210326275967172,0.03938159160891425
14,72.5,0.8940839437408017,0.038295228277457766
15,77.5,0.8697423369694552,0.04061359544742543
16,82.5,0.9678174881702261,0.055417963406824845
17,87.5,0.9501833013606892,0.08070781981581554
18,92.5,1.2893713831073632,0.2188383405180655
19,97.5,1.9742790874240501,0.994197173407989
