,Age,R,DeltaR
0,2.5,1.0,inf
1,7.5,1.0,inf
2,12.5,1.0,inf
3,17.5,1.3698864273330078,0.061106769814796486
4,22.5,1.2029526511374011,0.06644804707899737
5,27.5,1.283889295849938,0.08544873248642458
6,32.5,1.406738128138304,0.11318675714662264
7,37.5,1.23006426744151,0.11154408651083253
8,42.5,1.1357834427815763,0.13006738610615065
9,47.5,1.1196774095557473,0.16119438773909345
10,52.5,0.9418892575671952,0.16630786650335744
11,57.5,0.887376160067054,0.1830127955982809
12,62.5,1.1602019973973046,0.2976491994909778
13,67.5,1.526298254402571,0.4219294284107576
14,72.5,0.6556392105826709,0.2482144440169224
15,77.5,0.9884974423591718,0.512027395789793
16,82.5,1.1428571428571428,1.5733939472107845
17,87.5,1.0,inf
18,92.5,1.0,inf
19,97.5,1.0,inf
