,Age,R,DeltaR
0,2.5,1.0693219500619195,0.1336868380901116
1,7.5,0.8543627255407397,0.11237790974610667
2,12.5,1.1329620516699044,0.10976946511468293
3,17.5,1.2145610709847254,0.045993205824309775
4,22.5,1.1381132580541606,0.04932270492179204
5,27.5,1.184545130469347,0.06492441291788954
6,32.5,1.1316973582735304,0.07272548541303421
7,37.5,1.2308106652768585,0.08998543805515971
8,42.5,1.0914443679851222,0.08290000530895943
9,47.5,0.9922384766292462,0.07718790456771477
10,52.5,1.0518150828829962,0.0805433672635621
11,57.5,0.8533854662692902,0.07055848492101144
12,62.5,0.8802116985974198,0.073879949961328
13,67.5,0.9482668557574759,0.08740793129410067
14,72.5,0.7417644067682755,0.07209533573548836
15,77.5,0.8933395555351484,0.08723343264393794
16,82.5,0.9248710708875854,0.09802248553393157
17,87.5,1.236930532618596,0.18410880902118015
18,92.5,1.0264249270104058,0.28313842863495187
19,97.5,1.4944533199785386,1.5328213427351682
