,Vehicle,Subject Occupant,Female Fatalities,Male Fatalities,Total
0,Car,"Unbelted drivers, airbag deployed",482,1445,1927
1,Car,"Unbelted right front passengers, airbag deployed",938,1137,2075
2,Car,"Belted drivers, airbag deployed",1747,3330,5077
3,Car,"Belted right front passengers, airbag deployed",3781,2391,6172
4,Car,"Unbelted left rear passengers, airbag deployed",22,38,60
5,Car,"Unbelted right rear passengers, airbag deployed",30,43,73
6,Car,"Belted left rear passengers, airbag deployed",82,78,160
7,Car,"Belted right rear passengers, airbag deployed",121,109,230
8,Car,"Unbelted drivers, airbag not deployed",300,852,1152
9,Car,"Unbelted right front passengers, airbag not deployed",477,678,1155
10,Car,"Belted drivers, airbag not deployed",653,1484,2137
11,Car,"Belted right front passengers, airbag not deployed",1386,1079,2465
12,Car,"Unbelted left rear passengers, airbag not deployed",53,88,141
13,Car,"Unbelted right rear passengers, airbag not deployed",62,131,193
14,Car,"Belted left rear passengers, airbag not deployed",95,138,233
15,Car,"Belted right rear passengers, airbag not deployed",135,139,274
0,Light truck,"Unbelted drivers, airbag deployed",211,666,877
1,Light truck,"Unbelted right front passengers, airbag deployed",433,549,982
2,Light truck,"Belted drivers, airbag deployed",661,1754,2415
3,Light truck,"Belted right front passengers, airbag deployed",1643,960,2603
4,Light truck,"Unbelted left rear passengers, airbag deployed",7,9,16
5,Light truck,"Unbelted right rear passengers, airbag deployed",10,8,18
6,Light truck,"Belted left rear passengers, airbag deployed",39,30,69
7,Light truck,"Belted right rear passengers, airbag deployed",43,42,85
8,Light truck,"Unbelted drivers, airbag not deployed",436,1502,1938
9,Light truck,"Unbelted right front passengers, airbag not deployed",759,1081,1840
10,Light truck,"Belted drivers, airbag not deployed",489,1349,1838
11,Light truck,"Belted right front passengers, airbag not deployed",964,863,1827
12,Light truck,"Unbelted left rear passengers, airbag not deployed",64,102,166
13,Light truck,"Unbelted right rear passengers, airbag not deployed",75,121,196
14,Light truck,"Belted left rear passengers, airbag not deployed",90,112,202
15,Light truck,"Belted right rear passengers, airbag not deployed",90,99,189
