,Age,R,DeltaR
0,3.0,0.9197534738706172,0.15686687263421573
1,8.0,1.0592205851372503,0.1382539666535186
2,13.0,0.9401355618914949,0.08161272355619342
3,18.0,1.3136654311635103,0.05248320965563946
4,23.0,1.261977747868403,0.058666177222635674
5,28.0,1.3082909536575322,0.07131705302196033
6,33.0,1.3283409805539386,0.07490356132326471
7,38.0,1.1367913864207688,0.06730101484962649
8,43.0,1.1428260507170633,0.06974622225784481
9,48.0,1.0885830873207614,0.06965281765750193
10,53.0,1.0246786314523149,0.0712645031280419
11,58.0,0.8742611634854647,0.06723245373728812
12,63.0,1.0063712118897803,0.08390609332916966
13,68.0,0.9255721593650676,0.08660958051783987
14,73.0,0.6857807186922391,0.07181891940672998
15,78.0,0.8860352941214791,0.10062144830941272
16,83.0,0.8949160161688821,0.12907775942180538
17,88.0,1.3937398432729875,0.3397428660322177
18,93.0,1.4872563887797183,0.6763956725997728
19,98.0,1.0,1.5819292019556372
