,Age,R,DeltaR
0,2.5,1.0400074413980465,0.05080023958584842
1,7.5,1.062523896763122,0.05469070030880818
2,12.5,1.0645187821258923,0.03790897340593369
3,17.5,1.2834834920732168,0.02342340384212734
4,22.5,1.2477127310551,0.027809709414026423
5,27.5,1.2894783024045873,0.035188768184037406
6,32.5,1.2672548429683694,0.040658553165272296
7,37.5,1.1926803177188692,0.043514279187000966
8,42.5,1.1703924595296424,0.04852167027405803
9,47.5,1.1058162241848106,0.04935835208426249
10,52.5,1.1004874599955177,0.05069292115879831
11,57.5,1.0294590496578298,0.04849395348032197
12,62.5,0.9000163432562654,0.041087463501700894
13,67.5,0.9233335100744675,0.04143811456140012
14,72.5,0.9223485401491687,0.04184159464604305
15,77.5,0.8884657933493935,0.0449603571295205
16,82.5,0.9936244943633963,0.06619613088243947
17,87.5,1.0853809936203374,0.1191967595744608
18,92.5,1.3077528591242054,0.2989669427646557
19,97.5,2.527535718430731,1.7184783514849025
