,Age,R,DeltaR
0,3.0,1.0921991200139227,0.11917829169292517
1,8.0,1.3288940318596612,0.14161442571416588
2,13.0,1.189995907045403,0.09020999786469582
3,18.0,1.319140123476662,0.050715889627718024
4,23.0,1.4213863604642691,0.06455899525543396
5,28.0,1.320516201542316,0.06902348530802274
6,33.0,1.3221087997684293,0.07560832635897008
7,38.0,1.243530896214075,0.08147198938370546
8,43.0,1.1246831566004163,0.08277989967345052
9,48.0,1.1745227011878765,0.09758216201179618
10,53.0,1.13392364099589,0.10045719524710037
11,58.0,1.0076387805822928,0.10515688833715023
12,63.0,1.1260023060443256,0.12367735269127841
13,68.0,1.1007549897119107,0.13498764333503244
14,73.0,1.0043612971840021,0.13571755085104345
15,78.0,1.0621939465648076,0.16018177366344047
16,83.0,0.914775882028515,0.2070025206197669
17,88.0,1.1716717394978895,0.4558857314891356
18,93.0,1.7086037569526544,1.8818949789950365
