,Age,R,DeltaR
0,2.5,1.074037699954619,0.24044209444221157
1,7.5,0.8326252439461717,0.1980927923503243
2,12.5,0.960688603168262,0.14220633365984445
3,17.5,1.3156816092541224,0.08632753178533033
4,22.5,1.1042485545003147,0.09303012105211991
5,27.5,1.0935625598103202,0.117162350348172
6,32.5,1.2165613492436773,0.15940952806713207
7,37.5,1.019941276594349,0.1677818605759305
8,42.5,0.9019452757457789,0.16091367197231515
9,47.5,1.0154467573036594,0.18500725232702248
10,52.5,0.6968890698567581,0.1410783645501648
11,57.5,1.1346365197526522,0.22344738353810176
12,62.5,0.9635766661152272,0.19245608420675756
13,67.5,0.7943702371626552,0.15897741822925096
14,72.5,1.050755848003264,0.22615027696451903
15,77.5,1.0627306330295614,0.2786584978604063
16,82.5,1.011022400605614,0.32898555470246926
17,87.5,1.7209667708048277,0.8761262737545232
18,92.5,0.8888888888888888,1.0589225053930922
19,97.5,1.0,inf
