,Age,R,DeltaR
0,2.5,1.0,inf
1,7.5,1.0,inf
2,12.5,1.0335253242868139,1.1832744014744216
3,17.5,0.9936378666179098,0.23605633232958256
4,22.5,1.0435854636379194,0.3052805779802773
5,27.5,0.708393977991941,0.3946492408847077
6,32.5,1.1240117457637704,0.8968125089254937
7,37.5,1.4001476256363938,1.014955390130413
8,42.5,1.2640107754808754,1.1351183574397454
9,47.5,2.8395709019602893,3.2444389265669575
10,52.5,0.4863527896838336,0.3820070199285925
11,57.5,0.3853305370588362,0.228355224087613
12,62.5,0.8296704529399911,0.45608433622962824
13,67.5,0.6252929442426093,0.323843212291287
14,72.5,0.6721686096157996,0.335562114643892
15,77.5,1.2941580062127427,1.1138543669840926
16,82.5,0.9197655772057004,0.48454872716556374
17,87.5,1.420754492158222,1.3016742493954143
18,92.5,1.0,inf
19,97.5,1.0,inf
