,Age,R,DeltaR
0,2.5,1.0425613927822472,0.06245103895606157
1,7.5,1.060945776639004,0.061783572682549324
2,12.5,1.045695834335361,0.0455932584965775
3,17.5,1.2352237418082694,0.02881560106272784
4,22.5,1.1961388402770514,0.03321672321219498
5,27.5,1.2644934972400481,0.04241171736930234
6,32.5,1.234421454129893,0.047587036756639056
7,37.5,1.1841003549340086,0.04971844922574283
8,42.5,1.1647704437774113,0.052132518020921025
9,47.5,1.1297160635040606,0.05329514022371348
10,52.5,1.1307252993681958,0.05322167465039935
11,57.5,0.9941429031117129,0.047747527091377265
12,62.5,0.8948687159917728,0.04247830400496491
13,67.5,0.9386481260660062,0.043660350287822315
14,72.5,0.8801339070134641,0.04051608372359617
15,77.5,0.8993990033045477,0.044064303975678336
16,82.5,0.9595903282752184,0.0571938341766764
17,87.5,0.928250706908477,0.08192784166583823
18,92.5,1.1103000166678958,0.1917693107801317
19,97.5,2.0746346409780125,1.0441197172625571
