,Age,R,DeltaR
0,3.0,1.031676128768917,0.05013394964204825
1,8.0,1.0758630344418154,0.054930640983534444
2,13.0,1.0575499852696904,0.03838467048098072
3,18.0,1.2797855983334712,0.025741042768767246
4,23.0,1.2432406963781422,0.029243542148735664
5,28.0,1.2889212794609133,0.036351789658012154
6,33.0,1.2768718488920348,0.041780631414953896
7,38.0,1.1967725164871799,0.04404601227177546
8,43.0,1.173893762851026,0.04879801291034331
9,48.0,1.1105366083544947,0.049409951576492764
10,53.0,1.116786230207367,0.05113929656591398
11,58.0,1.0332973170234914,0.04848935964878335
12,63.0,0.9207604132274262,0.042141011821315015
13,68.0,0.9258622813260511,0.04197389263315994
14,73.0,0.9189692222486749,0.04220660364012283
15,78.0,0.8817995063213685,0.04513866607116595
16,83.0,0.9674711423701466,0.06419683716581272
17,88.0,1.006047113807934,0.10747474420978573
18,93.0,1.2096699248538365,0.2535976465452874
19,98.0,1.8891087909676998,1.0486926734138777
