,Age,R,DeltaR
0,2.5,0.9213776372913377,0.580323863752906
1,7.5,1.0210020520875058,0.3303633994475374
2,12.5,1.2383195227210628,0.18936260337356448
3,17.5,1.2013717459013218,0.056661868406772835
4,22.5,1.1186369103223792,0.061304449064615504
5,27.5,1.1264776896824107,0.08081998880940247
6,32.5,1.118160293900775,0.09916420467709004
7,37.5,1.3158354147847167,0.13954365082820144
8,42.5,1.1675620563749263,0.12794151209536866
9,47.5,1.1461900652195938,0.1315082724929806
10,52.5,1.1212395113001186,0.12185232801057486
11,57.5,0.9307832022223331,0.11168235145669157
12,62.5,0.8158922813243098,0.09771617981324131
13,67.5,0.995799280418557,0.12294281532528215
14,72.5,0.7603365922966112,0.09870549583545248
15,77.5,0.9298252182991682,0.1150410866005436
16,82.5,1.011612654333677,0.1315607926168577
17,87.5,1.0660992095634176,0.18553931040887364
18,92.5,0.987754806671954,0.3282657952289369
19,97.5,2.0,2.694438717061496
