,Age,R,DeltaR
0,2.5,1.0445129884634925,0.0413744225762536
1,7.5,1.0908824251990656,0.04189971999765477
2,12.5,1.0803338225159846,0.029064515593136935
3,17.5,1.2755923878558553,0.01857230448889628
4,22.5,1.2462277504917025,0.020594853567204533
5,27.5,1.2663116535653276,0.024942530742453686
6,32.5,1.2576419839007922,0.027804790817129915
7,37.5,1.1957773884702878,0.029236883633246294
8,42.5,1.161858362715415,0.03074801881080687
9,47.5,1.1138777635849213,0.0315856784170586
10,52.5,1.0840448643766813,0.03212107844916647
11,57.5,1.0079189751266193,0.03216774351840152
12,62.5,0.9512961762038927,0.03110229993012863
13,67.5,0.9383184303218853,0.03166608534636122
14,72.5,0.8757963504695382,0.03025450383375534
15,77.5,0.8817703024278006,0.032906718173101715
16,82.5,0.9610782221724345,0.04346343604573205
17,87.5,0.9605761520031496,0.06424771175545997
18,92.5,1.2126895985872188,0.1560480492811352
19,97.5,1.6376524767080367,0.6527479454191176
