,Age,R,DeltaR
0,2.5,1.022008056477837,0.0591706657903012
1,7.5,1.1728893690165119,0.07245457587695167
2,12.5,1.1020222693660937,0.045610458740361105
3,17.5,1.3029000837817901,0.025707658424055934
4,22.5,1.2863416663146638,0.028754031494529302
5,27.5,1.2977367178628176,0.03388855585925013
6,32.5,1.3002312603626578,0.038543639342799245
7,37.5,1.1965529989140309,0.03993584009949684
8,42.5,1.161997244241935,0.04364723542435922
9,47.5,1.1196857244118388,0.045965314427146096
10,52.5,1.1176321964032487,0.04742250462757481
11,57.5,1.0364236773521518,0.046109040796956
12,62.5,0.9403402976595723,0.041236901164310474
13,67.5,0.9331408417616414,0.04105845337118306
14,72.5,0.9391973491054396,0.04198884291561144
15,77.5,0.8919691937501117,0.04441565401476404
16,82.5,0.9682584919826193,0.06323152017936857
17,87.5,1.0295596850785231,0.10900180592221931
18,92.5,1.2337358462401946,0.2648075799937413
19,97.5,1.6773331291654558,1.0022068817459253
