,Age,R,DeltaR
0,2.5,1.0298782577328833,0.04778363763249096
1,7.5,1.065459947755495,0.05068746590079213
2,12.5,1.070880870930393,0.03593148367557784
3,17.5,1.278623754277323,0.023886238215313382
4,22.5,1.2445087679205102,0.026994061701932567
5,27.5,1.286651153527961,0.03350481984112704
6,32.5,1.2595286472166505,0.03754159650664011
7,37.5,1.20244433115702,0.039728053492994506
8,42.5,1.1867377144188984,0.04324917125769681
9,47.5,1.0986893711339876,0.04288540401042912
10,52.5,1.1003568426657895,0.04444960022908647
11,57.5,1.0477769824253544,0.04424506661252259
12,62.5,0.9100335933932686,0.0383080588495417
13,67.5,0.9218876912303289,0.03883451296174366
14,72.5,0.9059507872797434,0.03796547724578335
15,77.5,0.86867053058198,0.03964696389052001
16,82.5,0.9443691184653719,0.05351313863469863
17,87.5,0.9345821991037628,0.07987531426136245
18,92.5,1.102985250104096,0.1893750154072849
19,97.5,1.626654144009043,0.7976550088149359
