,Age,R,DeltaR
0,2.5,1.142474069896519,0.30535213495035063
1,7.5,1.0666997141334238,0.2822178291581948
2,12.5,0.9995691829890644,0.16914473710442177
3,17.5,1.1938470450426864,0.08829127167821837
4,22.5,1.3694466941298615,0.13372261497552915
5,27.5,1.2322707375505813,0.15805874249931906
6,32.5,1.4303645141936487,0.2090593316290332
7,37.5,1.3349916768029577,0.2231627767440649
8,42.5,0.8993988532311237,0.21467053922492818
9,47.5,0.8218641326218888,0.19731921965973437
10,52.5,1.4881728085724673,0.3793569321729456
11,57.5,1.2246247769599292,0.29278873606792166
12,62.5,0.8298568989231873,0.17414849751191708
13,67.5,0.9759305158082927,0.2024464595577811
14,72.5,0.7469103583051401,0.14494322548749425
15,77.5,0.9397025543392273,0.21115795624424533
16,82.5,0.9741816618797572,0.29147957871980756
17,87.5,1.4765455185081315,0.646312911702799
18,92.5,0.75,0.8109600791654297
19,97.5,1.0,inf
