,Age,R,DeltaR
0,2.5,1.0768058268757936,0.1160642219917317
1,7.5,1.3171869864688894,0.13791122706085165
2,12.5,1.1848987822809345,0.08912523864448404
3,17.5,1.3250001649172547,0.05072683046660695
4,22.5,1.4112272269096098,0.06370448899445275
5,27.5,1.321826829339303,0.0685623947239787
6,32.5,1.305370452665571,0.07367480628713222
7,37.5,1.2629646227858082,0.0816008511973651
8,42.5,1.1278237993464966,0.08168402264267768
9,47.5,1.1877917443744277,0.09709232455066914
10,52.5,1.152103787629523,0.10071564836383541
11,57.5,1.0135484871924223,0.10444321526546235
12,62.5,1.1538188747809852,0.12452623388642389
13,67.5,1.0670110965408173,0.12882480867589166
14,72.5,1.0185213222103342,0.13458708598398322
15,77.5,1.051674831068238,0.15732059108739307
16,82.5,0.9279423443205054,0.20338922313719135
17,87.5,1.0793769401640951,0.41381757439123823
18,92.5,1.7086037569526544,1.8818949789950365
19,97.5,1.0,inf
