,Age,R,DeltaR
0,2.5,1.0041196920255224,0.07045677648412334
1,7.5,1.0346508872179836,0.07402430522407102
2,12.5,1.0251937472984756,0.050534557213985164
3,17.5,1.2249079941838883,0.03505415418057986
4,22.5,1.2829491950227,0.04973640843749952
5,27.5,1.2238681259967352,0.06060105057879266
6,32.5,1.122196244890505,0.0674915088345487
7,37.5,1.2224156847986503,0.08421161845580942
8,42.5,1.3229708011688885,0.10861414985822133
9,47.5,1.1220523779403895,0.10335635008301118
10,52.5,1.070405388891297,0.10568456417373104
11,57.5,1.001318732748635,0.10512029008971524
12,62.5,1.0324306186495604,0.10908158370469445
13,67.5,1.0824709607319463,0.12622847612126947
14,72.5,0.856187705605547,0.11352280387717528
15,77.5,0.8825468357321166,0.1349801972707906
16,82.5,0.749565932237638,0.16410387668722265
17,87.5,0.7069252020344805,0.26709196095568466
18,92.5,2.0800111150778364,1.4933382953540948
19,97.5,1.0,inf
